공모전명,주최,주관,접수기간,분야,응모대상,시상내역,조회수,포스터
2024년 제주시 정책 아이디어 공모전,제주시,-,24.05.13 ~ 24.09.13,아이디어·창업·네이밍,제한없음,"최우수(1팀, 70만원), 우수(2팀, 50만원), 장려(5팀, 20만원)",0,https://www.all-con.co.kr/data/poster/2405/513021.jpg?v=1715673278
2024 국방기술을 활용한 창업경진대회,방위사업청,국방과학연구소,24.05.10 ~ 24.06.26,아이디어·창업·네이밍,"일반인, 대학생, 대학원생, 고등학생","창업 엑셀러레이팅 지원, 범부처 통합 본선 창업경진대회 출전 기회 제공 外",0,https://www.all-con.co.kr/data/poster/2405/513039.png?v=1715818421
2024년 하반기 광진경제허브센터 신규 입주기업 모집 통합 공고,엔슬파트너스/광진구,엔슬파트너스/광진구,24.05.16 ~ 24.06.16,아이디어·창업·네이밍,제한없음,독립형 또는 개방형 입주공간 및 혜택 제공,0,https://www.all-con.co.kr/data/poster/2405/513048.png?v=1715819153
제2회 메카이브 창직 메이커톤,한국잡월드,한국잡월드,24.05.16 ~ 24.07.05,아이디어·창업·네이밍,기타 (만19세 이상 성인 누구나 (2006년1월일 이후 출생자)),"총 상금 500만원, 고용노동부장관상 및 한국잡월드 이사장상",0,https://www.all-con.co.kr/data/poster/2405/513051.jpg?v=1715848803
대국민 디지털 혁신 아이디어 공모전,한국철도공사,한국철도공사,24.05.07 ~ 24.06.28,아이디어·창업·네이밍,제한없음,"1등 300만원 총 1,000만원 이외 포스터 이미지 및 공식 홈페이지 참고",0,https://www.all-con.co.kr/data/poster/2405/513054.jpg?v=1715825283
2024년 업사이클 창업경진대회 모집 공고,광명업사이클아트센터,링크드코리아,24.05.07 ~ 24.07.15,아이디어·창업·네이밍,제한없음,총 상금 3900만원,0,https://www.all-con.co.kr/data/poster/2405/513058.png?v=1715825562
제10회 밀알복지재단 스토리텔링 공모전 일상 속의 장애인,"밀알복지재단, 한국장애인고용공단",밀알복지재단,24.06.03 ~ 24.07.14,문학·학술·공학,제한없음,대상 각 200만 원(2명) 外,0,https://www.all-con.co.kr/data/poster/2405/513060.jpg?v=1715832832
코리아 주니어 워터프라이즈(KJWP) 2024 참가팀 모집,환경부/한국물포럼,없음,24.05.10 ~ 24.07.28,아이디어·창업·네이밍,고등학생,국무총리상(1) 환경부장관상(1) 교육부장관상(1) 기관장상(4),0,https://www.all-con.co.kr/data/poster/2405/513063.jpg?v=1715833301
제 19회 자생 동·식물 세밀화 공모전,국립생물자원관,국립생물자원관,24.05.13 ~ 24.08.30,디자인·그림·웹툰,제한없음,시상금,0,https://www.all-con.co.kr/data/poster/2405/513075.jpg?v=1715845159
2024 꿈틔움 드로잉 공모전 스케치의 모든 것,사단법인 꿈틔움,사단법인 꿈틔움,24.06.03 ~ 24.07.31,디자인·그림·웹툰,제한없음,300만원,0,https://www.all-con.co.kr/data/poster/2405/513085.png?v=1715846211
2024 아시아태평양 청년 MICE 아이디어 공모전,대전광역시,"대전관광공사, 국제컨벤션협회(ICCA), 한국MICE협회",24.05.10 ~ 24.07.10,아이디어·창업·네이밍,"일반인, 대학생, 대학원생",대전광역시장상 및 트로피 外,0,https://www.all-con.co.kr/data/poster/2405/513091.jpg?v=1715846778
2024 문화 디지털혁신 및 문화데이터 공모전,문화체육관광부,한국문화정보원,24.05.08 ~ 24.07.15,아이디어·창업·네이밍,제한없음,"총 상금 6,800만원",0,https://www.all-con.co.kr/data/poster/2405/513092.png?v=1715846999
2024 디베이트 마스터즈 전국 대학원생 토론 대회,한국고등교육재단,한국고등교육재단,24.05.13 ~ 24.06.21,문학·학술·공학,대학원생,1등 상금 500만원 外,0,https://www.all-con.co.kr/data/poster/2405/513094.png?v=1716268089
2024 모의 ICT 분쟁조정 경연대회,과학기술정보통신부,"한국인터넷진흥원, 전자문서·전자거래분쟁조정위원회, 인터넷주소분쟁조정위원회, 정보보보산업분쟁조정위원회, 온라인광고분쟁조정위원회",24.05.02 ~ 24.06.16,문학·학술·공학,"대학생, 대학원생","대상(과학기술정보통신부장관), 최우수상(특허청장) 外",0,https://www.all-con.co.kr/data/poster/2405/513101.jpg?v=1715904218
제9회(2024) 4차 산업혁명 영재 장학생 공모,"한국언론인협회, 국회 4차산업혁명포럼","POWER KOREA 운영본부, 한국지속경영평가원",24.05.17 ~ 24.06.28,문학·학술·공학,"초등학생, 중학생, 고등학생",고등학생(2명) / 100만원  중학생(2명) 外,0,https://www.all-con.co.kr/data/poster/2405/513107.jpg?v=1715906658
2024년 성불평등 개선을 위한 영상콘텐츠 공모전,제주특별자치도,제주영상·문화산업진흥원,24.07.01 ~ 24.07.19,사진·영상,"일반인, 대학생, 중학생, 고등학생, 기타",대상(1) 제주특별자치도지사상 및 상금 200만원,0,https://www.all-con.co.kr/data/poster/2405/513111.jpg?v=1715906861
2024 저작권 공모전(제20회 전국 청소년 저작권 글짓기 대회),문화체육관광부,한국저작권위원회,24.05.21 ~ 24.07.08,문학·학술·공학,"초등학생, 중학생, 고등학생",총 상금 890만원,0,https://www.all-con.co.kr/data/poster/2405/513120.png?v=1715935346
제5회 증평군 아동정책 발표 한마당 참가신청 모집,증평군,(주)해본사람들,24.05.17 ~ 24.06.13,아이디어·창업·네이밍,"초등학생, 중학생, 고등학생",본선 진출 5개팀 문화상품권 총 200만원 팀별 차등 지급,0,https://www.all-con.co.kr/data/poster/2405/513121.png?v=1715915086
한국엔지니어링산업연구원 BI 공모전,한국엔지니어링산업연구원,한국엔지니어링산업연구원,24.05.13 ~ 24.06.23,디자인·그림·웹툰,제한없음,1등 200만원 x 1명 / 2등 50만원 x 2명,0,https://www.all-con.co.kr/data/poster/2405/513125.png?v=1715919005
제33회 눈높이 교육상,대교문화재단,대교문화재단,24.04.22 ~ 24.06.30,아이디어·창업·네이밍,일반인,"상금 / 시상금(1등) 1,500만원",0,https://www.all-con.co.kr/data/poster/2405/513128.jpg?v=1715921937
제5회 계룡장학재단 아이디어 공모전,계룡장학재단,계룡장학재단,24.05.10 ~ 24.07.07,아이디어·창업·네이밍,"대학생, 대학원생","1,850만원",0,https://www.all-con.co.kr/data/poster/2405/513133.jpg?v=1715927477
