대외활동명,주최,주관,접수기간,분야,응모대상,혜택,조회수
발달장애인 국제문화예술축제 2024 국제 스페셜 뮤직&아트 페스티벌 메이트 및 통역 자원봉사자 모집,(사)스페셜올림픽코리아,(사)스페셜올림픽코리아,24.05.27 ~ 24.06.16,봉사활동,"일반인, 대학생, 대학원생",자원봉사확인증(VMS 인증) 제공 (1일 최대 8시간),0
한국건설교통신기술협회 12기 서포터즈 모집,한국건설교통신기술협회,한국건설교통신기술협회,24.05.27 ~ 24.06.14,서포터즈·기자단·마케터,"대학생, 대학원생",활동 및 콘텐츠 제작비 지원 外,0
2024 제28회 부평풍물대축제  제9회 대한민국 창작풍물대전 작품공모,인천광역시 부평구,"부평구축제위원회, 부평구문화재단, 부평문화원",24.05.28 ~ 24.06.16,"기타(예체능, e스포츠 등)",일반인,상,0
2024년 WISET-한국과학기술정보연구원 취업탐색 멘토링 멘티 모집,한국여성과학기술인육성재단,한국여성과학기술인육성재단,24.05.24 ~ 24.06.18,체험단·모니터링·인턴십,"대학생, 대학원생",수료증 발급 등,0
2024년 WISET-포스코이앤씨 취업탐색 멘토링 멘티 모집,한국여성과학기술인육성재단,한국여성과학기술인육성재단,24.05.27 ~ 24.06.18,체험단·모니터링·인턴십,"대학생, 대학원생",포스코이앤씨 재직자와의 멘토링,0
가장 적합한 인생선배 5명을 무료로 만나보세요,라이프챗,위오랩스,24.05.29 ~ 24.06.14,체험단·모니터링·인턴십,제한없음,서비스 무료 제공,0
대전 꿈씨 기자단 모집,대전관광공사,대전관광공사,24.05.24 ~ 24.06.12,서포터즈·기자단·마케터,제한없음,활동비 및 우수 활동자 상금 지급,0
취업·스펙 공모전 클럽 기역미음지읒 11기 모집,기역미음지읒,기역미음지읒,24.05.23 ~ 24.06.16,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",기역미음지읒 수료증 발급 및 11기 특전 제공 外,0
행정안전부와 함께하는 어린이제품 안전 지킴이단 모집 안내,아동안전위원회,아동안전위원회,24.05.29 ~ 24.06.23,체험단·모니터링·인턴십,"초등학생, 중학생, 고등학생","봉사활동시간 최대 10시간 부여, 활동증명서 발급 外",0
판교 IT 스타트업에서 일일 마케터 체험 참여자 모집,(주)오오칠팔구,(주)오오칠팔구,24.05.29 ~ 24.06.15,체험단·모니터링·인턴십,대학생,"수료증, 굿즈 제공",0
